ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,mtm_5,mtm_10,mtm_20,ma_5,ma_10,ma_20,ema_5,ema_10,ema_20,tr,atr,u,d,au,ad,rs,rsi,ma_12,ma_26,ema_12,ema_26,dif,dif_ma_9,dea,macd,volume_change_rate
000004.SZ,20250205,10.65,11.45,10.62,11.45,10.41,1.04,9.9904,100505.47,112119.188,,,,,,,,,,,,,,,,,,,,,,,,,,
000004.SZ,20250206,11.62,12.17,11.56,11.88,11.45,0.43,3.7555,217442.47,257024.218,,,,,,,,,,0.7200000000000006,,0.4300000000000015,0.0,,,,,,,,,,,,,1.1634889125935135
000004.SZ,20250207,11.88,13.07,11.8,12.7,11.88,0.82,6.9024,220911.46,277873.724,,,,,,,,,,1.2699999999999996,,0.8199999999999985,0.0,,,,,,,,,,,,,0.015953599129001756
000004.SZ,20250210,12.95,13.97,12.6,13.97,12.7,1.27,10.0,194050.0,259610.794,,,,,,,,,,1.370000000000001,,1.2700000000000014,0.0,,,,,,,,,,,,,-0.1215937824140042
000004.SZ,20250211,14.25,14.59,13.67,13.7,13.97,-0.27,-1.9327,270321.95,379106.75,,,,12.74,,,12.74,,,0.9199999999999999,,0.0,0.27000000000000135,,,,,,,,,,,,,0.39305307910332393
000004.SZ,20250212,13.67,14.18,13.45,14.0,13.7,0.3,2.1898,183709.53,256068.396,2.5500000000000007,,,13.25,,,13.16,,,0.7300000000000004,,0.3000000000000007,0.0,,,,,,,,,,,,,-0.320404687817619
000004.SZ,20250213,14.01,14.12,13.54,13.57,14.0,-0.43,-3.0714,141273.16,193597.087,1.6899999999999995,,,13.588,,,13.296666666666669,,,0.5800000000000001,,0.0,0.4299999999999997,,,,,,,,,,,,,-0.230997107226827
000004.SZ,20250214,13.57,13.83,13.24,13.66,13.57,0.09,0.6632,117495.0,159563.595,0.9600000000000009,,,13.780000000000001,,,13.41777777777778,,,0.5899999999999999,,0.08999999999999986,0.0,,,,,,,,,,,,,-0.168313358319443
000004.SZ,20250217,13.74,13.94,13.55,13.77,13.66,0.11,0.8053,107696.1,148199.356,-0.20000000000000107,,,13.739999999999998,,,13.535185185185187,,,0.3899999999999988,,0.10999999999999943,0.0,,,,,,,,,,,,,-0.08339844248691429
000004.SZ,20250218,13.77,13.8,13.0,13.15,13.77,-0.62,-4.5025,109073.0,145144.533,-0.5499999999999989,,,13.63,13.184999999999999,,13.406790123456792,13.184999999999999,,0.8000000000000007,,0.0,0.6199999999999992,,,,,,,,,,,,,0.012785049783603994
000004.SZ,20250219,13.23,13.39,13.02,13.23,13.15,0.08,0.6084,79310.3,104546.175,-0.7699999999999996,1.7800000000000011,,13.475999999999999,13.363,,13.34786008230453,13.193181818181817,,0.370000000000001,,0.08000000000000007,0.0,,,,,,,,,,,,,-0.2728695460838154
000004.SZ,20250220,13.15,13.28,12.94,13.12,13.23,-0.11,-0.8314,70310.0,91963.589,-0.45000000000000107,1.2399999999999984,,13.386000000000001,13.487,,13.271906721536354,13.179876033057848,,0.33999999999999986,,0.0,0.11000000000000121,,,,,13.183333333333332,,13.183333333333332,,,,,,-0.11348210762032174
000004.SZ,20250221,13.12,13.42,12.75,13.39,13.12,0.27,2.0579,107097.0,140586.57,-0.2699999999999996,0.6900000000000013,,13.331999999999999,13.556000000000001,,13.311271147690903,13.218080390683692,,0.6699999999999999,,0.27000000000000135,0.0,,,,,13.344999999999999,,13.215128205128204,,,,,,0.5232114919641587
000004.SZ,20250224,12.05,12.94,12.05,12.78,13.39,-0.61,-4.5556,152866.0,192167.648,-0.9900000000000002,-1.1900000000000013,,13.134,13.437000000000001,,13.134180765127269,13.138429410559384,,1.3399999999999999,,0.0,0.6100000000000012,,,,,13.42,,13.14818540433925,,,,,,0.42736024351755886
000004.SZ,20250225,12.8,13.48,12.8,13.2,12.78,0.42,3.2864,175625.37,232086.429,0.049999999999998934,-0.5,,13.144,13.387,,13.156120510084847,13.14962406318495,,0.7000000000000011,0.7707142857142859,0.41999999999999993,0.0,0.2707142857142859,0.1457142857142859,1.857843137254901,65.00857632933104,13.461666666666666,,13.15615688059475,,,,,,0.14888444781704235
000004.SZ,20250226,13.36,13.48,12.72,12.82,13.2,-0.38,-2.8788,123843.37,159198.427,-0.41000000000000014,-1.1799999999999997,,13.062000000000001,13.269000000000002,,13.044080340056565,13.08969241533314,,0.7599999999999998,0.7735714285714287,0.0,0.379999999999999,0.2513775510204083,0.16244897959183685,1.5474246231155777,60.74466773517445,13.365833333333333,,13.104440437426327,,,,,,-0.29484350694891065
000004.SZ,20250227,12.82,13.15,12.35,12.56,12.82,-0.26,-2.0281,98934.0,125385.664,-0.5599999999999987,-1.0099999999999998,,12.95,13.168000000000001,,12.882720226704379,12.993384703454385,,0.8000000000000007,0.7400000000000002,0.0,0.2599999999999998,0.23342201166180773,0.16941690962099135,1.3777964205816555,57.94425496883453,13.270833333333334,,13.020680370129968,,,,,,-0.20113608019549206
000004.SZ,20250228,12.51,12.61,12.05,12.08,12.56,-0.48,-3.8217,78714.0,96886.805,-1.3100000000000005,-1.58,,12.687999999999999,13.010000000000002,,12.61514681780292,12.82731475737177,,0.5599999999999987,0.6821428571428572,0.0,0.4800000000000004,0.21674901082882148,0.19160141607663486,1.1312495244927017,53.07916841703326,13.110833333333337,,12.875960313186896,,,,,,-0.20437867669355328
000004.SZ,20250303,12.3,12.45,12.06,12.18,12.08,0.1,0.8278,70195.0,85954.527,-0.5999999999999996,-1.5899999999999999,,12.568,12.850999999999999,,12.470097878535281,12.709621165122357,,0.3899999999999988,0.6442857142857142,0.09999999999999964,0.0,0.2084097957696199,0.17791560064258952,1.1713969714678898,53.9466982251528,12.995000000000003,,12.768889495773527,,,,,,-0.10822725309347765
000004.SZ,20250304,12.12,12.3,11.92,12.28,12.18,0.1,0.821,60933.17,74074.887,-0.9199999999999999,-0.870000000000001,,12.384,12.764000000000001,12.9745,12.406731919023521,12.6315082260092,12.9745,0.3800000000000008,0.6192857142857143,0.09999999999999964,0.0,0.20066623892893273,0.16520734345383312,1.2146326835950154,54.84578515401033,12.880000000000003,,12.693675727192984,,,,,,-0.13194429802692503
000004.SZ,20250305,12.25,12.3,11.88,12.18,12.28,-0.1,-0.8143,69633.0,83859.082,-0.6400000000000006,-1.0500000000000007,0.7300000000000004,12.256,12.659,13.011000000000001,12.331154612682347,12.549415821280254,12.898833333333334,0.41999999999999993,0.6078571428571429,0.0,0.09999999999999964,0.18633293614829466,0.16054967606427356,1.1605936599566802,53.71642440068764,12.7475,,12.614648692240218,,,,,,0.14277658621732633
000004.SZ,20250306,12.25,12.76,12.18,12.65,12.18,0.47,3.8588,110615.0,138683.653,0.08999999999999986,-0.46999999999999886,0.7699999999999996,12.274,12.612,13.0495,12.4374364084549,12.567703853774754,12.87513492063492,0.5800000000000001,0.6071428571428571,0.47000000000000064,0.0,0.2065948692805594,0.1490818420596826,1.385781570889447,58.08501447904183,12.705833333333336,,12.620087354972492,,,,,,0.588542788620338
000004.SZ,20250307,12.54,12.61,12.17,12.24,12.65,-0.41,-3.2411,86632.0,106966.78,0.16000000000000014,-1.1500000000000004,-0.4599999999999991,12.306000000000001,12.497,13.026500000000002,12.371624272303269,12.508121334906615,12.814645880574451,0.4800000000000004,0.6135714285714287,0.0,0.41000000000000014,0.19183809290337658,0.16771885334113387,1.1438075629648212,53.35402219511577,12.623333333333335,,12.561612377284415,,,,,,-0.2168150793292049
000004.SZ,20250310,12.25,12.25,12.06,12.15,12.24,-0.09,-0.7353,49154.0,59655.045,-0.02999999999999936,-0.629999999999999,-1.8200000000000003,12.3,12.434,12.935500000000001,12.297749514868848,12.443008364923594,12.751346272900694,0.1899999999999995,0.5700000000000001,0.0,0.08999999999999986,0.17813537198170684,0.16216750667391003,1.098465257530939,52.34612551190849,12.542500000000002,,12.498287396163736,,,,,,-0.4326115061409179
000004.SZ,20250311,12.15,12.25,11.96,12.23,12.15,0.08,0.6584,48417.0,58634.649,-0.049999999999998934,-0.9699999999999989,-1.4699999999999989,12.290000000000001,12.337000000000002,12.862,12.2751663432459,12.404279571301121,12.701694246910153,0.28999999999999915,0.5642857142857142,0.08000000000000007,0.0,0.1711257025544421,0.15058411334005933,1.1364127248137679,53.19256488293148,12.445833333333333,,12.457012412138546,,,,,,-0.014993693290474834
000004.SZ,20250312,12.31,12.35,12.17,12.25,12.23,0.02,0.1635,50222.0,61486.916,0.07000000000000028,-0.5700000000000003,-1.75,12.303999999999998,12.28,12.7745,12.266777562163934,12.376228740155462,12.658675747204423,0.17999999999999972,0.5528571428571427,0.019999999999999574,0.0,0.16033100951483906,0.1398281052443408,1.1466293506206833,53.415339275461925,12.401666666666666,12.815,12.425164348732617,12.815,-0.38983565126738284,,,,0.03728029411157238
000004.SZ,20250313,12.24,12.24,11.85,12.02,12.25,-0.23,-1.8776,54916.33,65883.726,-0.6300000000000008,-0.5400000000000009,-1.5500000000000007,12.178,12.226,12.697000000000001,12.184518374775957,12.311459878309014,12.597849485565908,0.40000000000000036,0.5335714285714285,0.0,0.23000000000000043,0.1488787945494934,0.14626895486974506,1.0178427451134278,50.44212427248449,12.303333333333335,12.836923076923076,12.362831372004521,12.75611111111111,-0.393279739106589,,,,0.09347158615746091
000004.SZ,20250314,12.03,12.27,11.9,12.26,12.02,0.24,1.9967,63650.0,77099.556,0.019999999999999574,0.17999999999999972,-1.4000000000000004,12.182,12.244,12.626999999999999,12.209678916517305,12.302103536798283,12.56567334408344,0.3699999999999992,0.46428571428571414,0.2400000000000002,0.0,0.15538745208167246,0.13582117237904898,1.1440591283369135,53.35949523110065,12.256666666666666,12.85153846153846,12.347011160926902,12.719362139917695,-0.3723509789907933,,,,0.15903593703366553
000004.SZ,20250317,12.35,12.67,12.35,12.43,12.26,0.17,1.3866,95848.0,119880.263,0.27999999999999936,0.25,-1.3399999999999999,12.238,12.269,12.56,12.283119277678203,12.325357439198594,12.55275207321835,0.41000000000000014,0.4435714285714284,0.16999999999999993,0.0,0.15643120550441014,0.12611966006625977,1.2403395745138033,55.36390949943295,12.245833333333335,12.841153846153844,12.359778674630455,12.697927907331199,-0.3381492327007436,,,,0.50586017282011
000004.SZ,20250318,12.43,12.43,12.17,12.22,12.43,-0.21,-1.6895,60471.0,74071.756,-0.009999999999999787,-0.05999999999999872,-0.9299999999999997,12.236,12.263,12.5135,12.262079518452136,12.306201541162487,12.521061399578508,0.2599999999999998,0.40785714285714264,0.0,0.20999999999999908,0.14525754796838086,0.13211111291866973,1.099510440562289,52.36984867137975,12.2575,12.773846153846154,12.338274263148847,12.66252584012148,-0.3242515769726335,,,,-0.369094816793256
000004.SZ,20250319,12.21,12.21,11.96,12.0,12.22,-0.22,-1.8003,51281.0,61839.999,-0.25,-0.17999999999999972,-1.2300000000000004,12.186,12.245,12.452,12.174719678968092,12.250528533678397,12.471436504380556,0.2599999999999998,0.36928571428571405,0.0,0.22000000000000064,0.13488200882778223,0.13838889056733622,0.9746592249914191,49.3583506792497,12.2425,12.708461538461538,12.286232068818256,12.613449851964335,-0.32721778314607874,,,,-0.15197367333101816
000004.SZ,20250320,11.99,12.09,11.88,11.96,12.0,-0.04,-0.3333,40394.0,48422.349,-0.05999999999999872,-0.6899999999999995,-1.1599999999999984,12.174,12.176000000000002,12.394,12.103146452645396,12.197705163918688,12.422728265868123,0.20999999999999908,0.34428571428571403,0.0,0.03999999999999915,0.12524757962579777,0.1313611126696693,0.9534601000278897,48.80878293927155,12.215833333333334,12.629999999999999,12.236042519769294,12.565046159226236,-0.32900363945694266,,,,-0.21230085216746944
000004.SZ,20250321,11.95,11.96,11.6,11.65,11.96,-0.31,-2.592,48749.32,57100.365,-0.6099999999999994,-0.5899999999999999,-1.7400000000000002,12.052,12.117,12.307,11.952097635096932,12.098122406842563,12.349135097690207,0.3600000000000012,0.3421428571428571,0.0,0.3100000000000005,0.11630132393824079,0.14412103319326436,0.806969818085347,44.65873253712708,12.171666666666667,12.556153846153846,12.14588213211248,12.497264962246515,-0.3513828301340354,,,,0.20684557112442442
000004.SZ,20250324,11.13,11.21,10.49,10.5,11.65,-1.15,-9.8712,151889.0,162378.169,-1.9299999999999997,-1.6500000000000004,-2.2799999999999994,11.666,11.952000000000002,12.193000000000001,11.468065090064622,11.807554696507552,12.173026993148282,1.1600000000000001,0.39785714285714274,0.0,1.1500000000000004,0.10799408651408073,0.21596953082231693,0.5000431593423701,33.33525147113718,11.992500000000001,12.434615384615382,11.892669496402867,12.349319409487514,-0.45664991308464664,-0.3646801494288717,-0.3646801494288717,-0.18393952731154983,2.115715255105097
000004.SZ,20250325,10.4,10.43,10.04,10.25,10.5,-0.25,-2.381,92505.0,94362.495,-1.9700000000000006,-1.9800000000000004,-2.9499999999999993,11.272,11.754,12.0455,11.062043393376415,11.524362933506177,11.989881565229398,0.46000000000000085,0.4007142857142857,0.0,0.25,0.1002802231916464,0.21840027862072287,0.4591579453330025,31.467323109302985,11.826666666666668,12.299230769230768,11.639951112340887,12.193814268043994,-0.5538631557031071,-0.38290542769950775,-0.4025167506837188,-0.30269281003877657,-0.3909697213096406
000004.SZ,20250326,10.24,10.37,10.14,10.36,10.25,0.11,1.0732,48157.0,49640.79,-1.6400000000000006,-1.8900000000000006,-2.460000000000001,10.943999999999999,11.565,11.9225,10.828028928917611,11.312660581959598,11.834654749493264,0.22999999999999865,0.37571428571428556,0.10999999999999943,0.0,0.1009744929636716,0.20280025871924265,0.4979012038809133,33.239922806050274,11.6775,12.191923076923077,11.443035556596136,12.05797617411481,-0.6149406175186733,-0.40753441418973935,-0.4450015240507097,-0.3398781869359273,-0.47941192367980107
