open,high,low,close,pre_close,change,pct_chg,vol,amount,mtm_5,mtm_10,mtm_20,ma_5,ma_10,ma_20,ema_5,ema_10,ema_20,tr,atr,u,d,au,ad,rs,rsi,ma_12,ma_26,ema_12,ema_26,dif,dif_ma_9,dea,volume_change_rate
1.242,1.294,1.242,1.287,,0.046,3.71,126427,16030275.0,,,,,,,,,,0.052000000000000046,,,,,,,,,,,,,,,
1.287,1.303,1.275,1.303,1.287,0.016,1.24,117928,15294187.0,,,,,,,,,,0.028000000000000025,,0.016000000000000014,0.0,,,,,,,,,,,,-0.06722456437311652
1.302,1.302,1.273,1.284,1.303,-0.019,-1.46,88351,11335354.0,,,,,,,,,,0.030000000000000027,,0.0,0.018999999999999906,,,,,,,,,,,,-0.25080557628383415
1.284,1.297,1.28,1.285,1.284,0.001,0.08,58859,7575832.0,,,,,,,,,,0.016999999999999904,,0.0009999999999998899,0.0,,,,,,,,,,,,-0.3338049371257824
1.284,1.294,1.263,1.265,1.285,-0.02,-1.56,60374,7749037.0,,,,1.2848,,,1.2803580246913582,,,0.03100000000000014,,0.0,0.020000000000000018,,,,,,,,,,,,0.025739479094106343
1.264,1.265,1.245,1.253,1.265,-0.012,-0.95,10422,1309617.0,-0.03400000000000003,,,1.278,,,1.2712386831275722,,,0.019999999999999796,,0.0,0.01200000000000001,,,,,,,,,,,,-0.8273760227912678
1.254,1.264,1.252,1.259,1.253,0.006,0.48,37614,4739398.0,-0.04400000000000004,,,1.2692,,,1.2671591220850482,,,0.01200000000000001,,0.006000000000000005,0.0,,,,,,,,,,,,2.609096142774899
1.26,1.262,1.24,1.243,1.259,-0.016,-1.27,17544,2196033.0,-0.040999999999999925,,,1.261,,,1.259106081390032,,,0.02200000000000002,,0.0,0.015999999999999792,,,,,,,,,,,,-0.5335779231137343
1.244,1.255,1.241,1.254,1.243,0.011,0.88,37702,4701094.0,-0.030999999999999917,,,1.2548,,,1.2574040542600216,,,0.01399999999999979,,0.010999999999999899,0.0,,,,,,,,,,,,1.1489968080255357
1.255,1.263,1.255,1.262,1.254,0.008,0.64,19586,2464801.0,-0.0029999999999998916,,,1.2542,1.2695,,1.2589360361733477,1.2655061587755125,,0.008999999999999897,,0.008000000000000007,0.0,,,,,,,,,,,,-0.48050501299665804
1.258,1.258,1.185,1.224,1.262,-0.038,-3.01,145548,17729937.0,-0.028999999999999915,-0.06299999999999994,,1.2484,1.2632,,1.2472906907822319,1.257959584452692,,0.07699999999999996,,0.0,0.038000000000000034,,,,,,,,,,,,6.43122638619422
1.223,1.234,1.211,1.233,1.224,0.009,0.74,53330,6520258.0,-0.0259999999999998,-0.06999999999999984,,1.2432000000000003,1.2562,,1.2425271271881546,1.2534214781885662,,0.02299999999999991,,0.009000000000000119,0.0,,,,,1.2626666666666666,,1.256631782744142,,,,,-0.6335916673537252
1.234,1.261,1.232,1.261,1.233,0.028,2.27,45432,5677124.0,0.017999999999999794,-0.02300000000000013,,1.2468,1.2539,,1.2486847514587698,1.2547993912451905,,0.028999999999999915,,0.027999999999999803,0.0,,,,,1.2605,,1.25730381616812,,,,,-0.14809675604725292
1.262,1.271,1.257,1.266,1.261,0.005,0.4,57119,7221629.0,0.01200000000000001,-0.018999999999999906,,1.2491999999999999,1.2520000000000002,,1.2544565009725133,1.2568358655642466,,0.014000000000000012,0.02699999999999996,0.0050000000000001155,0.0,,,,,1.2574166666666666,,1.2586416906037938,,,,,0.2572415918295474
1.267,1.271,1.254,1.259,1.266,-0.007,-0.55,43653,5506045.0,-0.0030000000000001137,-0.006000000000000005,,1.2486000000000002,1.2513999999999998,,1.2559710006483422,1.2572293445525653,,0.016999999999999904,0.02449999999999995,0.0,0.007000000000000117,0.009842974890370997,0.0048767823643733115,2.0183338428791795,66.86913866869997,1.2553333333333332,,1.258696815126287,,,,,-0.23575342705579583
1.261,1.291,1.261,1.289,1.259,0.03,2.38,139798,17969411.0,0.06499999999999995,0.03600000000000003,,1.2616,1.2550000000000001,,1.266980667098895,1.2630058273611897,,0.03200000000000003,0.024785714285714237,0.030000000000000027,0.0,0.011282762398201642,0.004528440766918075,2.4915336158587675,71.35929050037106,1.2556666666666667,,1.2633588435683967,,,,,2.2024832199390647
1.289,1.29,1.265,1.282,1.289,-0.007,-0.54,56770,7263320.0,0.04899999999999993,0.02300000000000013,,1.2713999999999999,1.2573,,1.2719871113992633,1.2664593132955186,,0.025000000000000133,0.024428571428571386,0.0,0.006999999999999895,0.010476850798330096,0.004704980712138205,2.2267574384101634,69.0091362896895,1.2570833333333333,,1.2662267137886434,,,,,-0.5939140760239774
1.281,1.281,1.266,1.266,1.282,-0.016,-1.25,29822,3799238.0,0.0050000000000001155,0.02299999999999991,,1.2724,1.2596,,1.269991407599509,1.2663758017872426,,0.016000000000000014,0.024357142857142824,0.0,0.016000000000000014,0.009728504312735088,0.005511767804128334,1.7650424797373365,63.83419034867796,1.2581666666666667,,1.2661918347442367,,,,,-0.4746873348599613
1.265,1.265,1.246,1.253,1.266,-0.013,-1.03,47746,5983295.0,-0.013000000000000123,-0.001000000000000112,,1.2698,1.2594999999999998,,1.2643276050663395,1.2639438378259258,,0.020000000000000018,0.023571428571428528,0.0,0.013000000000000123,0.009033611147539726,0.00604664153240489,1.4939882080204692,59.9035794642461,1.2576666666666665,,1.2641623217066618,,,,,0.6010327945811818
1.254,1.264,1.244,1.247,1.253,-0.006,-0.48,59096,7441634.0,-0.011999999999999789,-0.014999999999999902,,1.2673999999999999,1.2579999999999998,1.26375,1.2585517367108932,1.2608631400393937,1.2646981789259983,0.020000000000000018,0.023571428571428545,0.0,0.005999999999999783,0.008388353208429745,0.006043309994375954,1.388039537312523,58.124646414967216,1.258,,1.2615219645210214,,,,,0.23771624848154826
1.22,1.244,1.22,1.228,1.247,-0.019,-1.52,30007,3711560.0,-0.06099999999999994,0.0040000000000000036,-0.05899999999999994,1.2551999999999999,1.2584,1.2608000000000001,1.248367824473929,1.2548880236685949,1.2612031142663793,0.027000000000000135,0.024642857142857126,0.0,0.019000000000000128,0.007789185122113335,0.006968787851920538,1.117724529376612,52.77950526009316,1.2558333333333334,,1.256364739210095,,,,,-0.49223297685122513
1.229,1.244,1.229,1.244,1.228,0.016,1.3,46699,5770806.0,-0.038000000000000034,0.010999999999999899,-0.05899999999999994,1.2475999999999998,1.2595,1.25785,1.2469118829826193,1.2529083830015777,1.259564722431486,0.016000000000000014,0.024214285714285695,0.016000000000000014,0.0,0.008375671899105241,0.0064710172910690715,1.2943361951241987,56.41440857163188,1.2543333333333333,,1.2544624716393111,,,,,0.5562702036191556
1.245,1.253,1.232,1.233,1.244,-0.011,-0.88,24586,3057671.0,-0.03299999999999992,-0.027999999999999803,-0.050999999999999934,1.241,1.2567,1.2553,1.2422745886550797,1.2492886770012908,1.2570347488665827,0.020999999999999908,0.024714285714285706,0.0,0.010999999999999899,0.007777409620597724,0.006794516055992702,1.1446598339756837,53.372558941142636,1.2550833333333333,,1.2511605529255712,,,,,-0.47352191695753654
1.234,1.246,1.218,1.219,1.233,-0.014,-1.14,84645,10450705.0,-0.03399999999999981,-0.04699999999999993,-0.06599999999999984,1.2342,1.252,1.252,1.2345163924367197,1.2437816448192378,1.25341239183167,0.028000000000000025,0.026071428571428572,0.0,0.014000000000000012,0.007221880361983601,0.0073091934805646535,0.9880543429568227,49.69956412193918,1.2539166666666668,,1.2462127755524064,,,,,2.4428129829984546
1.218,1.229,1.206,1.211,1.219,-0.008,-0.66,53660,6546205.0,-0.03600000000000003,-0.04799999999999982,-0.053999999999999826,1.2269999999999999,1.2472,1.2493,1.2266775949578133,1.2378213457611946,1.24937311641913,0.02300000000000013,0.022214285714285725,0.0,0.008000000000000007,0.006706031764699059,0.007358536803381464,0.9113267955142168,47.680323304892326,1.24975,,1.2407954254674207,,,,,-0.3660582432512257
1.19,1.229,1.178,1.224,1.211,0.013,1.07,54729,6651455.0,-0.0040000000000000036,-0.06499999999999995,-0.028999999999999915,1.2262,1.2407,1.2478500000000001,1.225785063305209,1.2353083738046138,1.2469566291411176,0.051000000000000156,0.024214285714285744,0.0129999999999999,0.0,0.007155600924363405,0.00683292703171136,1.0472233775005246,51.15335185255113,1.24625,1.255153846153846,1.2382115138570482,1.2517294725763644,-0.013517958719316159,,,0.019921729407379907
1.224,1.234,1.223,1.233,1.224,0.009,0.74,49821,6118483.0,-0.010999999999999899,-0.04899999999999993,-0.0259999999999998,1.2240000000000002,1.2357999999999998,1.24655,1.2281900422034728,1.2348886694765022,1.2456274263657732,0.010999999999999899,0.022928571428571458,0.009000000000000119,0.0,0.007287343715480314,0.006344860815160549,1.1485427226500817,53.45682496987689,1.2440833333333334,1.253076923076923,1.2374097424944255,1.2503421042373744,-0.012932361742948872,,,-0.08967823274680697
1.234,1.253,1.234,1.251,1.233,0.018,1.46,66308,8264960.0,0.017999999999999794,-0.015000000000000124,0.007999999999999785,1.2276,1.2343,1.24695,1.235793361468982,1.2378180022989562,1.2461391000452233,0.019999999999999796,0.02335714285714287,0.017999999999999794,0.0,0.008052533450088849,0.00589165647122051,1.3667690045106606,57.748305893216894,1.240916666666667,1.251076923076923,1.239500551341437,1.2503908372568282,-0.010890285915391207,,,0.33092471046345917
